2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+02,3.000000000000000000e+02,9.892020000000000000e+05
3.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+02,4.500000000000000000e+02,1.213481000000000000e+06
2.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+02,5.400000000000000000e+02,1.265983000000000000e+06
4.000000000000000000e+00,4.000000000000000000e+00,6.500000000000000000e+02,5.000000000000000000e+02,1.377746000000000000e+06
2.000000000000000000e+00,2.000000000000000000e+00,6.450000000000000000e+02,4.300000000000000000e+02,1.243716000000000000e+06
1.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+02,4.300000000000000000e+02,1.275269000000000000e+06
5.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+02,5.500000000000000000e+02,1.865254000000000000e+06
2.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+02,3.200000000000000000e+02,1.129912000000000000e+06
3.000000000000000000e+00,5.000000000000000000e+00,8.700000000000000000e+02,4.500000000000000000e+02,1.688260000000000000e+06
2.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+02,4.000000000000000000e+02,1.162715000000000000e+06
1.000000000000000000e+00,2.000000000000000000e+00,7.700000000000000000e+02,6.000000000000000000e+02,1.584542000000000000e+06
2.000000000000000000e+00,4.000000000000000000e+00,6.570000000000000000e+02,5.450000000000000000e+02,1.569624000000000000e+06
4.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+02,3.450000000000000000e+02,1.075363000000000000e+06
2.000000000000000000e+00,2.000000000000000000e+00,3.240000000000000000e+02,3.500000000000000000e+02,8.200120000000000000e+05
3.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+02,4.000000000000000000e+02,1.339306000000000000e+06
2.000000000000000000e+00,1.000000000000000000e+00,2.340000000000000000e+02,1.200000000000000000e+02,4.379960000000000000e+05
6.000000000000000000e+00,3.000000000000000000e+00,5.200000000000000000e+02,3.400000000000000000e+02,1.057786000000000000e+06
2.000000000000000000e+00,2.000000000000000000e+00,6.850000000000000000e+02,5.400000000000000000e+02,1.351889000000000000e+06
2.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+02,4.500000000000000000e+02,1.254776000000000000e+06
